code_insee,nom_commune,code_departement,nom_departement,region,population,latitude,longitude,prix_m2_median,prix_m2_median_maison,prix_m2_median_appartement,prix_m2_q1,prix_m2_q3,prix_median_maison,prix_median_appartement,surface_mediane_m2,nb_ventes,nb_maisons,nb_appartements,periode_debut,periode_fin,evolution_prix_pct,part_passoires_dpe_pct,prix_m2_median_departement,fiabilite,url
33194,Grézillac,33,Gironde,Nouvelle-Aquitaine,693,44.8147,-0.2152,1890,1890,,1620,2300,200000,,92,22,22,0,2023-01-13,2025-10-31,,,3570,indicative,
33195,Grignols,33,Gironde,Nouvelle-Aquitaine,1216,44.4085,-0.0281,1490,1440,,1110,1730,138000,,92,32,30,2,2023-01-03,2025-11-07,,6.8,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/grignols/
33198,Guîtres,33,Gironde,Nouvelle-Aquitaine,1631,45.0443,-0.1845,1600,1690,,1230,2000,145000,,91,52,49,3,2023-01-20,2025-12-01,18.9,5.6,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/guitres/
33199,Gujan-Mestras,33,Gironde,Nouvelle-Aquitaine,22153,44.5758,-1.0813,4660,4850,4240,3900,5530,401000,204500,80,878,679,199,2023-01-03,2025-12-30,-15.8,3.4,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/gujan-mestras/
33201,Haux,33,Gironde,Nouvelle-Aquitaine,840,44.7387,-0.3673,2250,2250,,2070,2550,202500,,89,16,14,2,2023-04-11,2025-10-31,,,3570,indicative,
33202,Hostens,33,Gironde,Nouvelle-Aquitaine,1554,44.4834,-0.6616,2560,2490,,2270,2900,253000,,96,40,37,3,2023-01-10,2025-12-29,0.8,7.3,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/hostens/
33203,Hourtin,33,Gironde,Nouvelle-Aquitaine,4045,45.1831,-1.0534,3460,3540,2670,2390,4250,251000,113500,63,269,169,100,2023-01-05,2025-12-30,-8.0,6.1,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/hourtin/
33205,Illats,33,Gironde,Nouvelle-Aquitaine,1413,44.6087,-0.3797,2220,2220,,1920,2780,215000,,104,29,29,0,2023-02-23,2025-12-30,,,3570,indicative,
33206,Isle-Saint-Georges,33,Gironde,Nouvelle-Aquitaine,502,44.7277,-0.4755,2560,2560,,1790,3190,214500,,88,16,16,0,2023-08-03,2025-12-18,,,3570,indicative,
33207,Izon,33,Gironde,Nouvelle-Aquitaine,6374,44.9188,-0.3561,2650,2670,,2190,3090,273500,,103,124,122,2,2023-01-17,2025-12-30,-15.6,3.1,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/izon/
33208,Jau-Dignac-et-Loirac,33,Gironde,Nouvelle-Aquitaine,1007,45.4337,-0.9258,1920,1920,,1280,2250,156000,,85,20,20,0,2023-09-15,2025-07-11,,,3570,indicative,
33213,La Brède,33,Gironde,Nouvelle-Aquitaine,4386,44.6777,-0.5396,3220,3430,2690,2490,3840,289000,132000,80,80,58,22,2023-01-11,2025-12-09,-13.4,5.7,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/la-brede/
33214,Lacanau,33,Gironde,Nouvelle-Aquitaine,5739,44.9879,-1.096,5290,5380,5250,4420,6430,366000,159500,50,698,416,282,2023-01-04,2025-12-30,-1.7,7.9,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/lacanau/
33218,Lagorce,33,Gironde,Nouvelle-Aquitaine,1575,45.0813,-0.1606,1330,1330,,1090,2090,155500,,99,29,29,0,2023-01-26,2025-12-18,,,3570,indicative,
33219,La Lande-de-Fronsac,33,Gironde,Nouvelle-Aquitaine,2729,44.9849,-0.3797,2500,2500,2500,2290,2810,254500,117500,95,58,46,12,2023-01-17,2025-12-31,3.7,3.9,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/la-lande-de-fronsac/
33220,Lamarque,33,Gironde,Nouvelle-Aquitaine,1335,45.0961,-0.718,2080,2090,,1390,2610,161000,,88,46,45,1,2023-01-06,2025-12-18,-34.1,6.6,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/lamarque/
33221,Lamothe-Landerron,33,Gironde,Nouvelle-Aquitaine,1114,44.5662,0.0602,1650,1730,,1220,2220,170000,,92,18,17,1,2023-01-26,2025-12-19,,,3570,indicative,
33225,Landiras,33,Gironde,Nouvelle-Aquitaine,2310,44.5696,-0.4333,2210,2210,,1680,2570,224000,,97,54,50,4,2023-01-02,2025-12-18,8.2,3.4,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/landiras/
33226,Langoiran,33,Gironde,Nouvelle-Aquitaine,2215,44.7071,-0.3734,2140,2210,1990,1530,2710,180000,124000,79,71,60,11,2023-01-03,2025-12-16,-13.1,9.8,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/langoiran/
33227,Langon,33,Gironde,Nouvelle-Aquitaine,7674,44.5355,-0.2422,2100,2160,2040,1800,2390,189500,100500,72,304,170,134,2023-01-11,2025-12-30,-2.4,4.0,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/langon/
33229,Lanton,33,Gironde,Nouvelle-Aquitaine,7337,44.7719,-0.9799,4340,4680,4100,3820,5380,368000,186500,70,289,203,86,2023-01-05,2025-12-31,-13.3,3.8,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/lanton/
33352,La Réole,33,Gironde,Nouvelle-Aquitaine,4487,44.5869,-0.0447,1570,1560,1760,1200,1890,158000,95000,86,96,85,11,2023-01-04,2025-12-23,-2.5,6.4,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/la-reole/
33233,Laruscade,33,Gironde,Nouvelle-Aquitaine,2811,45.1206,-0.3394,2100,2140,,1670,2400,194000,,93,42,38,4,2023-02-03,2025-12-01,,4.2,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/laruscade/
33505,La Sauve,33,Gironde,Nouvelle-Aquitaine,1589,44.7643,-0.316,2470,2460,,1980,3030,213000,,90,31,30,1,2023-01-17,2025-12-01,,7.7,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/la-sauve/
33529,La Teste-de-Buch,33,Gironde,Nouvelle-Aquitaine,27566,44.586,-1.1809,5070,5240,4880,4170,6230,483500,239000,80,1179,771,408,2023-01-03,2025-12-30,-8.6,4.6,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/la-teste-de-buch/
33234,Latresne,33,Gironde,Nouvelle-Aquitaine,3714,44.7901,-0.4981,3510,3570,3360,3000,3970,344500,200000,84,79,60,19,2023-01-25,2025-12-31,-15.2,5.2,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/latresne/
33029,Le Barp,33,Gironde,Nouvelle-Aquitaine,5806,44.6297,-0.7437,3400,3460,3370,3020,3910,331000,156000,93,128,101,27,2023-01-10,2025-12-18,-10.9,2.7,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/le-barp/
